CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,250,"2,049.70","2,101.30",250,"17,350.00",-,-,0.05,"49,650",-0.15,0.05,63.25,"71,289","-10,560","11,831",
,-,-,-,-,-,-,"1,500","1,917.15","2,041.45",200,"17,400.00",-,-,0.05,"1,63,100",-0.15,0.05,61.74,"23,709","-5,560","15,886",
,-,-,-,-,-,-,200,"1,963.65","2,051.05","1,500","17,450.00",-,-,0.05,"28,900",-0.20,0.05,60.24,"4,253",-279,"1,697",
,20,-8,23,-,"1,910.90",-13.50,400,"1,922.25","1,934.40",500,"17,500.00",-,-,0.05,"18,300",-0.25,0.05,58.74,"25,332","-5,154","11,249",
,-,-,-,-,-,-,"1,800","1,834.70","1,885.35",150,"17,550.00",-,-,0.05,"4,700",-0.20,0.05,57.24,"6,886",-256,"2,460",
,1,-1,4,99.49,"1,835.60",14.60,250,"1,787.60","1,835.40",250,"17,600.00",-,-,0.05,100,-0.20,0.05,55.74,"21,413","-6,327","5,737",
,1,-,-,-,-,-,"1,500","1,734.85","1,785.35",150,"17,650.00",-,-,0.05,150,-0.25,0.05,54.24,"4,114",-445,"1,613",
,-,-,-,-,-,-,200,"1,702.90","1,735.35",700,"17,700.00","2,200",0.05,0.10,"22,600",-0.25,0.05,55.54,"19,751","-2,394","3,932",
,-,-,-,-,-,-,"1,500","1,636.00","1,685.35",200,"17,750.00","3,350",0.05,0.10,"8,350",-0.20,0.05,53.98,"11,940",-819,"1,597",
,5,-,3,100.99,"1,630.00",280.00,100,"1,590.35","1,634.40",250,"17,800.00","9,050",0.05,0.10,"8,450",-0.25,0.05,52.42,"13,596","-2,960","5,406",
,2,-,2,-,"1,580.00",280.00,250,"1,570.20","1,585.15",250,"17,850.00",-,-,0.05,"2,750",-0.20,0.05,48.28,"16,618","-4,451",932,
,10,1,5,-,"1,514.20",-18.80,150,"1,490.75","1,534.05",500,"17,900.00",-,-,0.05,"9,250",-0.30,0.05,46.79,"44,561","-13,658","14,168",
,16,-,24,-,"1,474.10",-19.30,500,"1,468.35","1,485.15",100,"17,950.00",-,-,0.05,400,-0.25,0.10,47.75,"11,272","-2,593","7,162",
,306,-383,468,70.84,"1,430.00",-3.50,50,"1,425.95","1,428.70",250,"18,000.00","4,20,950",0.05,0.10,"2,19,600",-0.30,0.05,46.19,"1,07,587","-20,324","70,923",
,14,-,-,-,-,-,"1,800","1,361.45","1,385.35",100,"18,050.00",600,0.05,0.10,"1,650",-0.30,0.05,42.33,"20,689","-4,461","1,921",
,12,-,-,-,-,-,"1,800","1,311.45","1,335.35",150,"18,100.00",-,-,0.05,"7,300",-0.30,0.05,40.85,"40,956","-3,627","13,745",
,5,-,-,-,-,-,"1,800","1,261.50","1,285.40",100,"18,150.00",-,-,0.10,"7,450",-0.35,0.05,39.37,"18,262","-3,973","3,797",
,57,-1,3,58.42,"1,228.40",147.75,250,"1,222.85","1,233.35",50,"18,200.00",-,-,0.05,"2,24,550",-0.25,0.05,37.88,"56,654","-3,861","22,669",
,13,-,-,-,-,-,"1,800","1,161.60","1,185.30",100,"18,250.00",-,-,0.05,"18,750",-0.35,0.05,36.40,"35,636","-2,454","3,883",
,37,-5,14,64.66,"1,135.00",8.10,650,"1,121.00","1,131.40",100,"18,300.00",-,-,0.05,"88,300",-0.30,0.05,34.92,"93,604","10,578","28,006",
,6,-,-,-,-,-,"1,800","1,061.65","1,085.45",150,"18,350.00",-,-,0.10,"13,900",-0.40,0.05,35.32,"38,347","-3,154","3,893",
,49,-,6,60.87,"1,036.00",26.85,250,"1,023.75","1,029.90",100,"18,400.00",-,-,0.05,"60,750",-0.30,0.05,31.95,"1,63,775","29,403","43,738",
,29,1,14,58.48,986.10,87.55,400,974.75,978.45,50,"18,450.00",-,-,0.10,"25,200",-0.30,0.10,30.47,"38,174",-993,"5,844",
,"1,327",-872,"1,412",44.81,929.20,1.50,700,925.95,928.05,450,"18,500.00",-,-,0.05,"7,24,150",-0.35,0.05,28.99,"4,53,072","32,149","91,047",
,58,-,10,50.26,883.10,-0.40,50,875.90,878.30,100,"18,550.00","36,300",0.05,0.10,"92,000",-0.30,0.05,29.09,"73,010","2,736","10,980",
,148,-31,105,-,828.00,0.60,750,826.35,828.80,100,"18,600.00",-,-,0.05,"96,900",-0.35,0.05,26.01,"2,15,473","26,267","59,882",
,57,-10,30,33.11,776.15,2.80,100,774.35,777.95,250,"18,650.00","20,400",0.05,0.10,"48,250",-0.35,0.05,25.97,"1,14,601","3,322","14,258",
,384,-112,142,-,730.00,-4.70,100,725.35,727.80,100,"18,700.00","1,36,500",0.05,0.10,"1,40,500",-0.45,0.05,24.40,"2,58,997","5,369","49,831",
,112,-18,83,-,665.00,-19.90,150,676.20,677.80,250,"18,750.00","93,300",0.05,0.10,"69,350",-0.45,0.05,22.83,"2,54,643","23,833","37,364",
,"1,117",-255,816,34.07,630.65,-3.65,"2,100",626.05,627.75,300,"18,800.00","4,09,800",0.05,0.10,"9,54,850",-0.50,0.05,21.26,"3,56,513","24,676","84,633",
,198,-22,57,35.24,582.80,-2.55,200,575.95,577.70,250,"18,850.00","55,250",0.05,0.10,"2,95,900",-0.55,0.05,19.68,"2,34,919","19,743","40,741",
,"1,376",-277,843,-,527.75,-5.45,150,526.35,527.65,250,"18,900.00","26,11,650",0.05,0.10,"2,06,100",-0.60,0.05,18.09,"5,35,477","72,619","1,31,621",
,308,-155,545,27.51,475.80,-8.60,700,476.45,477.75,550,"18,950.00","2,94,950",0.10,0.15,"1,63,550",-0.60,0.10,17.15,"3,21,599","23,966","47,932",
,"3,348","-2,631","21,645",25.01,428.00,-5.20,350,427.00,427.45,50,"19,000.00","26,58,500",0.10,0.15,"3,43,000",-0.75,0.10,15.50,"13,14,987","1,12,869","2,54,998",
,792,-332,"1,756",21.81,375.00,-8.35,100,376.60,377.65,600,"19,050.00","5,90,400",0.15,0.20,"28,700",-0.75,0.20,14.25,"8,03,811","46,630","1,16,197",
,"9,297","-2,163","19,196",21.09,329.20,-5.90,250,326.70,327.60,900,"19,100.00","9,89,300",0.15,0.20,"2,90,700",-1.10,0.15,12.53,"12,50,161","60,640","2,23,533",
,"4,402","-1,187","21,958",17.69,278.85,-5.85,150,276.60,277.35,"1,000","19,150.00","5,34,100",0.20,0.25,"1,90,250",-1.45,0.20,11.07,"12,09,396","80,035","1,73,511",
,"30,285","-3,017","1,20,976",15.51,227.60,-8.00,150,227.00,227.35,250,"19,200.00","10,18,750",0.25,0.30,"4,85,150",-2.10,0.25,9.47,"33,05,490","1,38,032","3,40,020",
,"31,373","2,442","1,68,105",12.96,177.55,-8.75,"1,800",177.00,177.35,550,"19,250.00","5,30,000",0.35,0.40,"5,21,050",-3.05,0.40,7.90,"44,46,360","1,54,464","2,77,189",
,"59,674","-7,353","11,75,329",9.58,127.55,-12.15,200,127.30,127.45,900,"19,300.00","2,90,500",0.50,0.55,"4,40,150",-5.75,0.50,6.12,"80,54,535","1,42,446","3,91,655",
,"85,310","40,923","29,35,229",7.01,77.75,-18.85,50,77.65,77.75,200,"19,350.00","2,55,350",0.75,0.80,"3,61,350",-12.55,0.80,4.46,"1,71,27,530","3,28,430","5,01,867",
,"4,89,537","3,17,864","1,50,43,983",4.23,30.25,-30.85,"4,450",30.15,30.25,"2,900","19,400.00","27,250",3.40,3.45,"61,350",-24.10,3.45,2.94,"3,53,99,651","10,66,747","13,07,131",
,"12,70,371","10,82,856","3,21,36,206",3.26,3.60,-32.45,"1,13,450",3.60,3.65,"74,600","19,450.00","3,150",26.40,26.45,"1,050",-25.95,26.35,-,"1,72,65,532","2,95,287","3,80,842",
,"8,01,038","5,15,540","2,34,01,913",4.55,0.80,-19.00,"2,97,200",0.80,0.85,"6,14,900","19,500.00",150,73.60,73.70,500,-12.60,73.75,-,"49,81,014","79,785","1,31,079",
,"3,89,546","2,14,039","1,06,12,735",5.86,0.40,-9.05,"4,27,950",0.40,0.45,"4,21,650","19,550.00","1,400",122.90,123.20,"3,200",-3.00,123.00,-,"9,40,868","18,094","30,381",
,"3,67,345","1,10,634","67,25,176",7.51,0.30,-3.65,"20,88,550",0.25,0.30,"11,10,600","19,600.00",250,173.15,173.45,550,2.70,173.25,-,"4,13,636","4,730","16,003",
,"2,38,118","55,085","26,55,083",9.13,0.25,-1.35,"21,11,350",0.20,0.25,"2,06,500","19,650.00",250,223.10,223.55,800,4.35,223.00,-,"60,610","1,129","3,475",
,"3,08,547","1,32,104","20,67,578",10.61,0.25,-0.75,"5,12,550",0.20,0.25,"6,46,750","19,700.00",300,273.25,273.75,400,5.55,272.80,-,"55,843","12,052","15,356",
,"1,88,627","57,814","9,58,374",11.93,0.25,-0.60,"1,70,350",0.20,0.25,"1,84,300","19,750.00",600,322.80,323.55,"1,000",3.85,321.40,-,"12,114",143,916,
,"1,89,931","86,163","10,58,532",13.55,0.20,-0.50,"6,20,250",0.15,0.20,"3,50,050","19,800.00",700,372.90,373.70,400,6.10,372.35,-,"6,762",-373,"1,343",
,"1,58,104","23,436","5,07,996",15.14,0.20,-0.50,"5,27,650",0.15,0.20,"1,54,500","19,850.00",300,422.85,423.70,300,5.75,422.90,-,454,-3,153,
,"1,86,157","77,639","7,65,407",16.08,0.15,-0.45,"12,95,150",0.10,0.15,"2,68,700","19,900.00",100,472.70,473.70,150,5.75,471.90,-,"1,524",-496,786,
,"62,321","19,677","3,95,992",17.59,0.10,-0.40,"3,07,000",0.10,0.15,"89,900","19,950.00",400,522.50,523.65,100,5.15,523.45,26.20,"8,045",221,269,
,"1,70,612","58,012","6,96,455",19.82,0.10,-0.40,"24,56,400",0.10,0.15,"75,600","20,000.00",200,572.60,574.05,"2,150",5.50,572.15,-,"1,311",-461,870,
,"18,393","5,007","99,499",20.57,0.15,-0.30,"81,900",0.10,0.15,"32,650","20,050.00",50,621.55,624.05,600,-250.75,615.25,-,26,9,21,
,"56,515","27,127","3,05,661",20.79,0.15,-0.25,"1,17,650",0.10,0.15,"1,16,000","20,100.00",100,672.95,674.10,500,5.15,674.20,31.65,470,-326,143,
,"9,887","4,598","64,695",23.49,0.10,-0.25,"4,29,300",0.05,0.10,"45,650","20,150.00",250,722.05,724.10,100,21.60,734.55,43.34,30,-6,17,
,"43,047","15,960","3,09,106",23.55,0.05,-0.30,"1,67,650",0.05,0.10,"76,900","20,200.00",100,771.80,774.10,100,13.90,774.50,22.83,128,5,85,
,"18,303","12,704","1,13,729",24.91,0.05,-0.35,-,-,0.05,"50,850","20,250.00",250,820.70,825.10,250,-22.15,812.05,-,3,-1,-,
,"24,078","8,679","1,41,667",26.27,0.05,-0.30,-,-,0.05,"17,700","20,300.00",100,870.55,875.35,250,-24.00,871.00,-,3,-,6,
,"9,805","4,279","49,797",27.62,0.10,-0.25,"1,81,200",0.05,0.10,"82,800","20,350.00",250,909.00,935.10,250,-,-,-,-,-,3,
,"1,55,067","1,45,254","4,57,396",28.96,0.05,-0.30,-,-,0.05,"3,05,400","20,400.00","1,800",956.70,988.25,"1,800",-,-,-,-,-,1,
,"44,098","29,756","1,66,203",30.29,0.05,-0.25,-,-,0.05,"71,700","20,450.00","1,800","1,006.65","1,038.30","1,800",-,-,-,-,-,-,
,"65,221","14,453","4,00,974",31.62,0.10,-0.30,-,-,0.10,"3,38,650","20,500.00",50,"1,070.60","1,075.90",400,-2.15,"1,077.85",49.33,80,-33,122,
,"32,397","28,445","1,19,054",32.94,0.05,-0.30,-,-,0.05,"1,37,750","20,550.00","1,800","1,100.10","1,138.35","1,800",-,-,-,-,-,-,
,"26,509","7,340","1,19,793",34.25,0.05,-0.35,-,-,0.05,"91,000","20,600.00",250,"1,169.00","1,188.15",250,-227.95,"1,192.05",70.65,1,-,1,
,"7,347","5,009","50,930",35.55,0.05,-0.25,-,-,0.05,"1,08,950","20,650.00","1,800","1,203.70","1,238.45","1,800",-,-,-,-,-,-,
,"10,167","-3,152","69,853",36.84,0.05,-0.35,-,-,0.05,"57,000","20,700.00","1,800","1,249.10","1,288.50","1,800",-,-,-,-,-,-,
,"2,392","1,054","12,645",38.14,0.05,-0.25,-,-,0.10,"23,000","20,750.00","1,800","1,300.00","1,338.55","1,800",-,-,-,-,-,-,
,"11,636","-5,509","42,380",39.42,0.05,-0.30,-,-,0.05,"32,050","20,800.00","1,800","1,349.00","1,388.55","1,800",-,-,-,-,-,-,
,"2,210","1,124","7,621",40.70,0.05,-0.25,-,-,0.05,"1,700","20,850.00","1,800","1,399.00","1,438.60","1,800",-,-,-,-,-,-,
,"4,029",874,"11,645",44.24,0.05,-0.25,-,-,0.05,100,"20,900.00","1,800","1,448.75","1,488.65","1,800",-,-,-,-,-,-,
,"1,237",426,"6,815",43.24,0.10,-0.20,-,-,0.10,"21,400","20,950.00","1,800","1,485.35","1,564.70","1,500",-,-,-,-,-,-,
,"57,189","-7,005","1,91,419",44.49,0.05,-0.20,-,-,0.05,"3,73,700","21,000.00",150,"1,571.05","1,580.20",500,35.45,"1,581.00",74.58,52,-10,58,
,"1,397",309,"5,558",45.75,0.10,-0.20,"7,450",0.05,0.10,"19,150","21,050.00","1,800","1,593.45","1,656.65","1,500",-,-,-,-,-,-,
,"9,850",860,"30,815",47.00,0.05,-0.20,-,-,0.05,"35,200","21,100.00","1,800","1,635.40","1,706.75","1,500",-,-,-,-,-,-,
,"7,214",-310,"12,031",48.24,0.10,-0.25,"14,550",0.05,0.10,"17,650","21,150.00","3,600","1,685.40","1,764.60","1,500",-,-,-,-,-,-,
,"16,065","-4,695","24,910",49.48,0.10,-0.20,"23,300",0.05,0.10,"15,250","21,200.00","1,800","1,743.05","1,806.80","1,500",-,-,-,-,-,-,
,"2,157",727,"6,426",50.71,0.10,-0.15,"7,350",0.05,0.10,"16,350","21,250.00","1,800","1,793.05","1,865.30","1,500",-,-,-,-,-,-,
,"27,215","-3,254","32,430",51.94,0.05,-0.20,-,-,0.05,"66,750","21,300.00",250,"1,842.50","1,914.80","1,500",-,-,-,-,-,-,
